Date,Centre_Name,Commodity_Name,Price
23-01-09,KOLKATA,Wheat,NA
23-01-09,GUWAHATI,Wheat,NA
23-01-09,SHILLONG,Wheat,NA
23-01-09,AIZWAL,Wheat,NA
23-01-09,KOHIMA,Wheat,NA
23-01-09,AGARTALA,Wheat,NA
23-01-09,BENGALURU,Wheat,NA
23-01-09,T.PURAM,Wheat,NA
23-01-09,CHENNAI,Wheat,1540
23-01-09,HYDERABAD,Wheat,NA
27-01-09,CHANDIGARH,Wheat,NA
27-01-09,DELHI,Wheat,1170
27-01-09,SHIMLA,Wheat,NA
27-01-09,SRINAGAR,Wheat,NA
27-01-09,JAMMU,Wheat,NA
27-01-09,AMRITSAR,Wheat,1000
27-01-09,LUDHIANA,Wheat,1100
27-01-09,LUCKNOW,Wheat,NA
27-01-09,DEHRADUN,Wheat,NA
27-01-09,RAIPUR,Wheat,NA
27-01-09,AHMEDABAD,Wheat,NA
27-01-09,BHOPAL,Wheat,NA
27-01-09,MUMBAI,Wheat,NA
27-01-09,JAIPUR,Wheat,NA
27-01-09,PATNA,Wheat,NA
27-01-09,RANCHI,Wheat,NA
27-01-09,BHUBANESHWAR,Wheat,1220
27-01-09,KOLKATA,Wheat,NA
27-01-09,GUWAHATI,Wheat,NA
27-01-09,SHILLONG,Wheat,NA
27-01-09,AIZWAL,Wheat,NA
27-01-09,KOHIMA,Wheat,NA
27-01-09,AGARTALA,Wheat,NA
27-01-09,BENGALURU,Wheat,1700
27-01-09,T.PURAM,Wheat,NA
27-01-09,CHENNAI,Wheat,NA
27-01-09,HYDERABAD,Wheat,NA
28-01-09,CHANDIGARH,Wheat,NA
28-01-09,DELHI,Wheat,1180
28-01-09,SHIMLA,Wheat,NA
28-01-09,SRINAGAR,Wheat,NA
28-01-09,JAMMU,Wheat,NA
28-01-09,AMRITSAR,Wheat,1000
28-01-09,LUDHIANA,Wheat,1100
28-01-09,LUCKNOW,Wheat,NA
28-01-09,DEHRADUN,Wheat,NA
28-01-09,RAIPUR,Wheat,NA
28-01-09,AHMEDABAD,Wheat,NA
28-01-09,BHOPAL,Wheat,1100
28-01-09,MUMBAI,Wheat,NA
28-01-09,JAIPUR,Wheat,1200
28-01-09,PATNA,Wheat,NA
28-01-09,RANCHI,Wheat,NA
28-01-09,BHUBANESHWAR,Wheat,1220
28-01-09,KOLKATA,Wheat,NA
28-01-09,GUWAHATI,Wheat,NA
